Number,Name,Type,Description,Note
140,SOC_UART2_RXD,I,SoC UART2 receiver  ,SoC GPP_F1
142,I2C5_SCL,O,I2C5 clock,SoC GPP_B17
144,I2C5_SDA,I/O,I2C5 data,SoC GPP_B16
KEY,KEY,KEY,KEY,
146,I2C4_SCL,O,I2C4 clock,SoC GPP_H9
148,I2C4_SDA,I/O,I2C4 data,SoC GPP_H8
150,I2C3_SCL,O,I2C3 clock,SoC GPP_B8
152,I2C3_SDA,I/O,I2C3 data,SoC GPP_B7
154,I2C2_SCL,O,I2C2 clock,SoC GPP_B6
156,I2C2_SDA,I/O,I2C2 data,SoC GPP_B5
158,GND,,,
160,I2S_MCLK,O,I2S main clock,SoC GPP_D19
162,I2S_SCLK,O,I2S bit clock,SoC GPP_S0
164,I2S_SFRM,O,I2S word clock,SoC GPP_S1
166,I2S_TXD,O,I2S serial data transmitter,SoC GPP_S2
168,I2S_RXD,I,I2S serial data receiver,SoC GPP_S3
170,GND,,,
172,HDA_RST,O,HD Audio reset,SoC GPP_R4
174,HDA_BCLK,O,HD Audio bit clock,SoC GPP_R0
176,HDA_SYNC,O,HD Audio sync,SoC GPP_R1
178,HDA_SDOUT,O,HD Audio serial data out,SoC GPP_R2
180,HDA_SDIN,I,HD Audio serial data in,SoC GPP_R3
182,GND,,,
184,CSI_D_CK+,I,MIPI CSI-2 Port D Clock,
186,CSI_D_CK-,I,MIPI CSI-2 Port D Clock,
188,GND,,,
190,CSI_D_D1+,I,MIPI CSI-2 Port D Data Lane 1,
192,CSI_D_D1-,I,MIPI CSI-2 Port D Data Lane 1,
194,GND,,,
196,CSI_D_D0+,I,MIPI CSI-2 Port D Data Lane 0,
198,CSI_D_D0-,I,MIPI CSI-2 Port D Data Lane 0,
200,GND,,,
202,CSI_C_CK+,I,MIPI CSI-2 Port C Clock,
204,CSI_C_CK-,I,MIPI CSI-2 Port C Clock,
206,GND,,,
208,CSI_C_D1+,I,MIPI CSI-2 Port C Data Lane 1,
210,CSI_C_D1-,I,MIPI CSI-2 Port C Data Lane 1,
212,GND,,,
214,CSI_C_D0+,I,MIPI CSI-2 Port C Data Lane 0,
216,CSI_C_D0-,I,MIPI CSI-2 Port C Data Lane 0,
218,GND,,,
220,TCP1_TXP0,O,TCP1 DP Lane 0/HDMI TMDS Data2,
222,TCP1_TXN0,O,TCP1 DP Lane 0/HDMI TMDS Data2,
224,GND,,,
226,TCP1_TXRXP0,O,TCP1 DP Lane 1/HDMI TMDS Data1,
228,TCP1_TXRXN0,O,TCP1 DP Lane 1/HDMI TMDS Data1,
230,GND,,,
232,TCP1_TXP1,O,TCP1 DP Lane 2/HDMI TMDS Data0,
234,TCP1_TXN1,O,TCP1 DP Lane 2/HDMI TMDS Data0,
236,GND,,,
238,TCP1_TXRXP1,O,TCP1 DP Lane 3/HDMI TMDS Clock,
240,TCP1_TXRXN1,O,TCP1 DP Lane 3/HDMI TMDS Clock,
242,GND,,,
244,TCP1_AUX_P,I/O,TCP1 DP Auxiliary channel,
246,TCP1_AUX_N,I/O,TCP1 DP Auxiliary channel,
248,GND,,,
250,VDC,,Main power input 9~20V,
252,VDC,,Main power input 9~20V,
254,VDC,,Main power input 9~20V,
256,VDC,,Main power input 9~20V,
258,VDC,,Main power input 9~20V,
260,VDC,,Main power input 9~20V,
